CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0168,C0011,1.0,,,,
C0168,,,C0006,1.0,,
C0168,,,,,C0152,1.0
C0169,C0028,1.0,,,,
C0169,,,C0175,1.0,,
C0169,,,,,C0068,1.0
C0170,C0155,1.0,,,,
C0170,,,C0081,1.0,,
C0170,,,,,C0126,1.0
C0171,C0096,1.0,,,,
C0171,,,C0149,1.0,,
C0171,,,,,C0200,1.0
C0172,C0048,1.0,,,,
C0172,,,C0135,1.0,,
C0172,,,,,C0191,1.0
C0173,C0104,1.0,,,,
C0173,,,C0059,1.0,,
C0173,,,,,C0145,1.0
C0174,C0160,1.0,,,,
C0174,,,C0181,1.0,,
C0174,,,,,C0055,1.0
C0175,C0169,1.0,,,,
C0175,,,C0041,1.0,,
C0175,,,,,C0028,1.0
C0176,C0001,1.0,,,,
C0176,,,C0098,1.0,,
C0176,,,,,C0189,1.0
C0177,C0158,1.0,,,,
C0177,,,C0166,1.0,,
C0177,,,,,C0112,1.0
C0178,C0107,1.0,,,,
C0178,,,C0187,1.0,,
C0178,,,,,C0079,1.0
C0179,C0067,1.0,,,,
C0179,,,C0100,1.0,,
C0179,,,,,C0037,1.0
C0181,C0147,1.0,,,,
C0181,,,C0055,1.0,,
C0181,,,,,C0174,1.0
C0182,C0013,1.0,,,,
C0182,,,C0051,1.0,,
C0182,,,,,C0105,1.0
C0183,C0011,1.0,,,,
C0183,,,C0006,1.0,,
C0183,,,,,C0023,1.0
C0184,C0040,1.0,,,,
C0184,,,C0127,1.0,,
C0184,,,,,C0092,1.0
C0185,C0002,1.0,,,,
C0185,,,C0019,1.0,,
C0185,,,,,C0129,1.0
C0186,C0095,0.9999,,,,
C0186,,,C0042,1.0,,
C0186,,,,,C0119,1.0
C0187,C0196,1.0,,,,
C0187,,,C0178,1.0,,
C0187,,,,,C0079,1.0
C0188,C0082,1.0,,,,
C0188,,,C0143,1.0,,
C0188,,,,,C0087,1.0
C0189,C0139,1.0,,,,
C0189,,,C0001,1.0,,
C0189,,,,,C0024,1.0
C0190,C0064,1.0,,,,
C0190,,,C0117,1.0,,
C0190,,,,,C0038,1.0
C0191,C0048,1.0,,,,
C0191,,,C0135,1.0,,
C0191,,,,,C0172,1.0
C0192,C0132,1.0,,,,
C0192,,,C0061,1.0,,
C0192,,,,,C0089,1.0
C0193,C0047,1.0,,,,
C0193,,,C0026,1.0,,
C0193,,,,,C0137,1.0
C0194,C0171,1.0,,,,
C0194,,,C0155,1.0,,
C0194,,,,,C0149,1.0
C0195,C0153,1.0,,,,
C0195,,,C0122,1.0,,
C0195,,,,,C0057,1.0
C0196,C0187,1.0,,,,
C0196,,,C0107,1.0,,
C0196,,,,,C0079,1.0
C0197,C0029,1.0,,,,
C0197,,,C0159,1.0,,
C0197,,,,,C0031,1.0
C0198,C0151,0.9999,,,,
C0198,,,C0032,0.9999,,
C0198,,,,,C0110,1.0
C0199,C0050,1.0,,,,
C0199,,,C0144,1.0,,
C0199,,,,,C0167,1.0
C0200,C0149,1.0,,,,
C0200,,,C0096,1.0,,
C0200,,,,,C0171,1.0
